response,pairA_1,pairA_2,pairB_1,pairB_2,subject
1,-0.523598776,0.523598776,1.745329252,-3.054326191,2
1,1.919862177,2.094395102,0,0.523598776,2
1,-2.094395102,-1.134464014,0,1.047197551,2
0,-2.705260341,-2.094395102,-1.832595715,-1.745329252,2
1,0.959931089,1.134464014,2.35619449,-2.530727415,2
0,-2.35619449,0.261799388,1.832595715,2.00712864,2
1,-1.396263402,-0.436332313,1.483529864,2.792526803,2
0,-1.658062789,-0.436332313,-2.879793266,-2.181661565,2
1,2.879793266,-3.054326191,0.174532925,1.658062789,2
0,0.523598776,-3.054326191,-0.610865238,0.174532925,2
1,1.308996939,2.530727415,-0.610865238,1.221730476,2
0,-1.658062789,0.174532925,-2.00712864,-1.745329252,2
0,2.967059728,-0.872664626,1.221730476,1.919862177,2
0,1.658062789,-2.792526803,-0.174532925,0.785398163,2
0,-2.181661565,0.872664626,0.959931089,-2.268928028,2
1,2.530727415,-1.658062789,-0.261799388,2.00712864,2
0,-2.792526803,-0.436332313,0.523598776,1.919862177,2
1,-0.610865238,-0.523598776,2.268928028,-2.094395102,2
1,3.054326191,-2.617993878,-1.134464014,0.698131701,2
0,-0.34906585,0.698131701,0.959931089,2.094395102,2
1,-0.698131701,-0.610865238,2.181661565,2.967059728,2
1,2.268928028,2.443460953,-0.959931089,0.785398163,2
1,1.745329252,2.967059728,-1.134464014,1.047197551,2
0,2.443460953,-1.570796327,1.047197551,1.396263402,2
0,-0.872664626,1.570796327,2.094395102,-2.094395102,2
1,1.483529864,2.00712864,-1.396263402,-0.785398163,2
